2022-08-26 19:15:43.996 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 15824 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:15:44.062 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:15:44.824 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:15:44.840 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:15:44.841 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-26 19:15:44.841 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-26 19:15:44.913 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-26 19:15:44.913 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 810 ms
2022-08-26 19:15:45.147 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-08-26 19:15:45.165 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-26 19:15:45.173 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Started JsonPayloadEncryptDecryptApplication in 1.455 seconds (JVM running for 2.201)
2022-08-26 19:16:22.042 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 24620 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:16:22.102 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:16:22.825 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:16:22.837 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:16:22.838 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-26 19:16:22.839 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-26 19:16:22.905 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-26 19:16:22.905 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 769 ms
2022-08-26 19:16:23.126 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-08-26 19:16:23.147 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-26 19:16:23.155 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Started JsonPayloadEncryptDecryptApplication in 1.348 seconds (JVM running for 2.013)
2022-08-26 19:20:13.077 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 19792 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:20:13.134 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:20:13.891 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:20:13.904 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:20:13.905 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-26 19:20:13.906 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-26 19:20:13.973 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-26 19:20:13.973 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 801 ms
2022-08-26 19:20:14.209 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-08-26 19:20:14.225 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-26 19:20:14.234 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Started JsonPayloadEncryptDecryptApplication in 1.416 seconds (JVM running for 2.095)
2022-08-26 19:21:30.141 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 4768 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:21:30.198 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:21:30.894 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:21:30.906 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:21:30.907 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-26 19:21:30.907 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-26 19:21:30.978 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-26 19:21:30.979 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 746 ms
2022-08-26 19:21:31.207 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-08-26 19:21:31.223 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-26 19:21:31.231 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Started JsonPayloadEncryptDecryptApplication in 1.329 seconds (JVM running for 2.015)
2022-08-26 19:23:06.566 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 2056 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:23:06.621 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:23:07.296 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:23:07.309 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:23:07.310 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
